fecha	cp	minsplit	minbucket	maxdepth	prob_corte	xval_folds	ganancia	iteracion
20230513 153836	-0.727972649591349	2703.3303278182	275.372654171151	20	0.0632874908186742	5	47094000	58
20230513 153851	-0.776061544062809	7996.75800296507	947.863173723623	12	0.0100129536841059	5	6675000	59
20230513 153912	-0.605474663844398	775.765982330254	367.592748259839	17	0.049883708211373	5	52413000	60
20230513 153930	-0.555691112101937	9962.61945342795	175.995550229443	18	0.0596698530531244	5	49269000	61
20230513 153946	-0.508660447438009	5351.24247931512	234.23203865713	11	0.048628066416596	5	49812000	62
20230513 153957	-0.536788529339117	6510.97535580417	2381.12172759181	4	0.0553966006893535	5	48606000	63
20230513 154006	-0.957789005518203	4567.55901750923	2275.3423764461	3	0.078012367641516	5	44040000	64
20230513 154016	-0.807917404076393	9923.93809256744	2108.55474106375	3	0.06488770760443	5	48756000	65
20230513 154026	-0.891326911168445	3959.55482765806	1973.29485010072	4	0.0409836601887668	5	49521000	66
20230513 154045	-0.719257275934073	838.619980004265	369.313133193721	14	0.0505695043509241	5	52221000	67
20230513 154104	-0.737720518505419	1469.46452334627	734.670422098195	20	0.0503530753749915	5	51906000	68
20230513 154114	-0.726840941036927	2180.13206236221	1084.94814486989	3	0.095017844220404	5	36630000	69
20230513 154130	-0.363321509278513	6425.85748965044	1065.66045484824	12	0.0465643090190054	5	48795000	70
20230513 154144	-0.404524850913614	10491.7427513464	2597.71259225635	20	0.0580015190478126	5	49269000	71
20230513 154157	-0.802868933103106	9668.61658541249	4263.8396908689	20	0.0583703393987601	5	49341000	72
20230513 154212	-0.925695318849007	10546.5150595395	2569.93942119055	15	0.0560379227805062	5	49269000	73
20230513 154226	-0.694633184796679	10658.6115114007	2385.95902070213	14	0.0534768488899357	5	49269000	74
20230513 154242	-0.803490886364659	10903.0267625277	1742.95963977798	20	0.0710321165528243	5	48756000	75
20230513 154301	-0.389747183920779	403.916400540191	184.931222602638	12	0.057302219470223	5	54210000	76
20230513 154317	0.00480133198711837	574.560929426285	286.804132360273	20	0.0492727055249213	5	0	77
20230513 154338	-0.737211143302933	4824.31553458512	91.2680857750139	19	0.045686881581559	5	50271000	78
20230513 154347	-0.382020303753518	3036.49229754746	1313.12999277601	3	0.0611775543237293	5	50313000	79
20230513 154415	-0.689093055985389	23.2949770505284	9.15636417300675	20	0.048789164985914	5	33141000	80
20230513 154432	-0.754994322170662	16699.4302153603	383.323016215516	17	0.0521556527226951	5	37002000	81
20230513 154451	-0.787656404861795	7030.94771566331	253.32546120746	19	0.0459690612964759	5	48432000	82
20230513 154508	-0.593946153306917	4706.23750754691	1477.04372808006	18	0.0728037786259436	5	49302000	83
20230513 154530	-0.558677374260557	1346.42499286652	555.451546610086	20	0.0433424950852751	5	53211000	84
20230513 154547	-0.934396308953649	4076.94788905618	1619.74825094978	16	0.0461621169527109	5	51699000	85
20230513 154612	-0.469920204849115	201.433281269939	3.42149521867893	17	0.0606039065869244	5	48975000	86
20230513 154624	-0.765490719159968	7956.67355054619	3639.33549864366	6	0.0699074923371682	5	48756000	87
