envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
147	855000	999000	879000	639000	879000	879000	
148	9e+05	996000	996000	636000	996000	876000	
149	897000	993000	993000	633000	993000	873000	
150	894000	990000	990000	630000	990000	870000	
151	915000	987000	987000	627000	1107000	867000	
152	936000	984000	984000	624000	1104000	984000	
153	957000	981000	981000	741000	1101000	981000	
154	954000	978000	978000	738000	1098000	978000	
155	951000	975000	975000	735000	1095000	975000	
156	948000	972000	972000	732000	1092000	972000	
157	993000	969000	1089000	729000	1089000	1089000	
158	1014000	966000	1206000	726000	1086000	1086000	
159	1011000	963000	1203000	723000	1083000	1083000	
160	1008000	960000	1200000	720000	1080000	1080000	
161	1029000	957000	1197000	717000	1077000	1197000	
162	1026000	954000	1194000	714000	1074000	1194000	
163	1023000	951000	1191000	711000	1071000	1191000	
164	1020000	948000	1188000	708000	1068000	1188000	
165	1041000	945000	1185000	825000	1065000	1185000	
166	1038000	942000	1182000	822000	1062000	1182000	
167	1059000	1059000	1179000	819000	1059000	1179000	
168	1080000	1176000	1176000	816000	1056000	1176000	
169	1077000	1173000	1173000	813000	1053000	1173000	
170	1074000	1170000	1170000	810000	1050000	1170000	
171	1095000	1167000	1167000	807000	1047000	1287000	
172	1116000	1164000	1164000	924000	1044000	1284000	
173	1113000	1161000	1161000	921000	1041000	1281000	
174	1110000	1158000	1158000	918000	1038000	1278000	
175	1107000	1155000	1155000	915000	1035000	1275000	
176	1104000	1152000	1152000	912000	1032000	1272000	
177	1125000	1149000	1149000	1029000	1029000	1269000	
178	1122000	1146000	1146000	1026000	1026000	1266000	
179	1119000	1143000	1143000	1023000	1023000	1263000	
180	1116000	1140000	1140000	1020000	1020000	1260000	
181	1113000	1137000	1137000	1017000	1017000	1257000	
182	1134000	1254000	1134000	1014000	1014000	1254000	
183	1131000	1251000	1131000	1011000	1011000	1251000	
184	1128000	1248000	1128000	1008000	1008000	1248000	
185	1125000	1245000	1125000	1005000	1005000	1245000	
186	1170000	1242000	1122000	1002000	1122000	1362000	
187	1167000	1239000	1119000	999000	1119000	1359000	
188	1164000	1236000	1116000	996000	1116000	1356000	
189	1185000	1233000	1113000	993000	1113000	1473000	
190	1182000	1230000	1110000	990000	1110000	1470000	
191	1179000	1227000	1107000	987000	1107000	1467000	
192	1176000	1224000	1104000	984000	1104000	1464000	
193	1197000	1221000	1221000	981000	1101000	1461000	
194	1242000	1338000	1218000	1098000	1098000	1458000	
195	1239000	1335000	1215000	1095000	1095000	1455000	
196	1284000	1332000	1332000	1092000	1212000	1452000	
197	1329000	1329000	1449000	1209000	1209000	1449000	
198	1326000	1326000	1446000	1206000	1206000	1446000	
199	1323000	1323000	1443000	1203000	1203000	1443000	
200	1320000	1320000	1440000	1200000	1200000	1440000	
201	1341000	1317000	1437000	1197000	1197000	1557000	
202	1338000	1314000	1434000	1194000	1194000	1554000	
203	1335000	1311000	1431000	1191000	1191000	1551000	
204	1332000	1308000	1428000	1188000	1188000	1548000	
205	1353000	1305000	1545000	1185000	1185000	1545000	
206	1374000	1302000	1542000	1182000	1182000	1662000	
207	1395000	1299000	1539000	1179000	1179000	1779000	
208	1416000	1296000	1536000	1296000	1176000	1776000	
209	1413000	1293000	1533000	1293000	1173000	1773000	
210	1410000	1290000	1530000	1290000	1170000	1770000	
211	1407000	1287000	1527000	1287000	1167000	1767000	
212	1428000	1404000	1524000	1284000	1164000	1764000	
213	1473000	1401000	1521000	1401000	1281000	1761000	
214	1494000	1518000	1518000	1398000	1278000	1758000	
215	1491000	1515000	1515000	1395000	1275000	1755000	
216	1512000	1632000	1512000	1392000	1272000	1752000	
217	1509000	1629000	1509000	1389000	1269000	1749000	
218	1530000	1626000	1506000	1386000	1386000	1746000	
219	1575000	1623000	1503000	1503000	1383000	1863000	
220	1572000	1620000	1500000	1500000	1380000	1860000	
221	1593000	1617000	1497000	1497000	1497000	1857000	
222	1614000	1614000	1614000	1494000	1494000	1854000	
223	1611000	1611000	1611000	1491000	1491000	1851000	
224	1608000	1608000	1608000	1488000	1488000	1848000	
225	1653000	1605000	1725000	1485000	1485000	1965000	
226	1674000	1722000	1722000	1482000	1482000	1962000	
227	1695000	1839000	1719000	1479000	1479000	1959000	
228	1716000	1836000	1716000	1476000	1476000	2076000	
229	1713000	1833000	1713000	1473000	1473000	2073000	
230	1710000	1830000	1710000	1470000	1470000	2070000	
231	1707000	1827000	1707000	1467000	1467000	2067000	
232	1728000	1824000	1704000	1584000	1464000	2064000	
233	1749000	1941000	1701000	1581000	1461000	2061000	
234	1746000	1938000	1698000	1578000	1458000	2058000	
235	1743000	1935000	1695000	1575000	1455000	2055000	
236	1740000	1932000	1692000	1572000	1452000	2052000	
237	1737000	1929000	1689000	1569000	1449000	2049000	
238	1734000	1926000	1686000	1566000	1446000	2046000	
239	1731000	1923000	1683000	1563000	1443000	2043000	
240	1752000	2040000	1680000	1560000	1440000	2040000	
241	1773000	2037000	1797000	1557000	1437000	2037000	
242	1818000	2154000	1794000	1674000	1434000	2034000	
243	1815000	2151000	1791000	1671000	1431000	2031000	
244	1812000	2148000	1788000	1668000	1428000	2028000	
245	1857000	2145000	1905000	1665000	1545000	2025000	
246	1854000	2142000	1902000	1662000	1542000	2022000	
247	1851000	2139000	1899000	1659000	1539000	2019000	
