Feature	Gain	Cover	Frequency
ctrx_quarter	0.0780757858252898	0.00462818702308373	0.000896696861560985
ctrx_quarter_normalizado	0.07083657135458	0.00289523580014326	0.000759447341934303
vm_status06_delta3	0.0402115815294476	0.00283886217995998	0.000320248879128923
ctrx_quarter_lag1	0.0389391885461904	0.00142627424150828	0.00065879769420807
mcaja_ahorro_rank	0.0248850767545373	0.00427667528613484	0.00150059474791838
mcuentas_saldo_rank	0.0240333659687509	0.00507438727107811	0.00300118949583676
mtarjeta_visa_consumo_rank	0.020943023815831	0.00353510650361721	0.00137249519626681
mcaja_ahorro_rank_lag1	0.0202313916387565	0.00304282263848401	0.00149144477994327
cdescubierto_preacordado	0.0166782311631471	0.00279451837435231	0.00203129289047488
cdescubierto_preacordado_delta3	0.0150348616442372	0.00204147620465162	0.000585597950407174
mprestamos_personales_rank	0.0149674648269929	0.00916209821385078	0.00294628968798609
mpayroll_sobre_edad_rank	0.0147044031876447	0.00873353220688247	0.00139079513221704
vm_status06_delta2	0.0142274708412032	0.000641061567004448	0.000109799615701345
ctarjeta_visa_transacciones	0.0139619248893639	0.00307427925501238	0.00100649647726233
mpayroll_rank	0.0127470862003312	0.00828682381949942	0.00150059474791838
cdescubierto_preacordado_delta2	0.0113880299965866	0.00298804468751595	0.000539848110531613
mprestamos_personales_rank_delta2	0.0106216178190093	0.0097963888317023	0.00200384298654955
mcuenta_corriente_rank_lag1	0.00839220695730297	0.00250104881806865	0.00231494189770336
ctrx_quarter_normalizado_lag1	0.00835185958443997	0.000663354616274543	0.000521548174581389
mpayroll_sobre_edad_rank_lag1	0.00742470688047791	0.00232937453248749	0.000905846829536097
mcuenta_corriente_rank	0.00733250234055279	0.00401414567785976	0.00284564004025986
active_quarter	0.00608326353506176	0.000764752601120195	0.00121694574068991
mpasivos_margen_rank	0.005862195866575	0.00302043839311963	0.00383383658157196
vm_Finiciomora_delta1	0.00582298171841808	0.00182645805567359	0.000384298654954708
foto_mes	0.00531844690100053	0.00383056892419149	0.00269009058468295
mcuentas_saldo_rank_delta3	0.00525534066725385	0.00354524331034501	0.00570958001646994
vm_Finiciomora	0.00440213381239353	0.00342569494082311	0.000686247598133407
vm_mpagospesos_rank	0.00432721717870886	0.000968188321254224	0.000704547534083631
vmr_mpagospesos	0.00432098034064725	0.00074265303190913	0.000741147405984079
Visa_Finiciomora	0.00421571782110375	0.00277300488766661	0.000384298654954708
mpayroll_rank_lag1	0.00412982764765035	0.00221671848821521	0.000896696861560985
mprestamos_personales_rank_delta3	0.00388818213963905	0.0034671337899799	0.00124439564461524
mautoservicio_rank	0.00377891840965766	0.00423292917579261	0.00197639308262421
vm_status01	0.00376577756794322	0.00202717377028465	0.000521548174581389
mactivos_margen_rank	0.00375823179421316	0.00539434614353436	0.00479458321895873
cpayroll_trx_lag1	0.00375720475544037	0.000854343250495077	0.000100649647726233
mcuentas_saldo_rank_delta2	0.003695306652727	0.0023698299072174	0.00454753408363071
mcuenta_corriente_rank_delta3	0.00368282771248892	0.00268803459983701	0.00205874279440022
mprestamos_personales_rank_lag1	0.00355624577207457	0.00182062399876989	0.00124439564461524
