Feature	Gain	Cover	Frequency
cdescubierto_preacordado_delta2	0.0558501395308605	0.000979331138512585	0.000238210853252952
mcaja_ahorro_rank	0.0502346050093486	0.00505182074887678	0.0015300466343555
ctrx_quarter	0.0435098748839705	0.00377662436000754	0.000870385809962711
ctrx_quarter_lag1	0.0416441993667599	0.00170074747026825	0.000650498868498447
ctrx_quarter_normalizado	0.0325786290393058	0.00344683288680026	0.000650498868498447
mcaja_ahorro_rank_lag1	0.0258525840212008	0.00288111747000924	0.00141094120772903
ctrx_quarter_normalizado_lag1	0.0219822225866969	0.00152828302083581	0.000696308647970169
mpayroll_sobre_edad_rank	0.0189386622438584	0.00959593724706155	0.00141094120772903
mcuentas_saldo_rank	0.0181938594517474	0.00593804234500572	0.00317003673944314
mprestamos_personales_rank	0.0152937878708737	0.0100562768938183	0.00295931175387322
mcaja_ahorro_rank_lag2	0.0152061678579626	0.00110742433945557	0.00142926511951771
vm_msaldopesos_rank	0.0143573164551342	0.00176942831478372	0.000879547765857055
ctarjeta_visa_transacciones	0.0138521208895213	0.00335851531702961	0.000989491236589187
vm_status06_delta2	0.0129706707414895	0.000624243377274958	9.16195589434433e-05
cdescubierto_preacordado	0.0114681130613695	0.00223212555361116	0.00192401073781231
mpayroll_rank	0.0113004161649859	0.00998014278488546	0.00147507489898944
mtarjeta_visa_consumo_rank	0.0111383264372485	0.00261091331934901	0.00129183578110255
vm_status01	0.00773384210357541	0.000669951914267955	0.000458097794717216
mpasivos_margen_rank	0.00705660468001684	0.00326869539011191	0.00423282362318708
mcuenta_corriente_rank	0.00695007547087615	0.00425544332516046	0.00296847370976756
mprestamos_personales_rank_delta3	0.00679083123421179	0.00292565604562668	0.00133764556057427
mcuentas_saldo_rank_delta3	0.00671518172918638	0.00315932376323629	0.00565292678681045
vm_status05_delta3	0.00617939172464128	0.000872778963779449	0.000201563029675575
ctarjeta_debito_transacciones_lag1	0.00616741010944499	0.000735787267643649	0.000577203221343693
Visa_mpagospesos_rank	0.00582786859718852	0.000808579218133861	0.0022538411500087
vmr_mpagospesos	0.00570269945670984	0.000659246565082263	0.000824576030490989
vm_Finiciomora_delta1	0.00565090632482501	0.00246281459592396	0.000485583662400249
mprestamos_personales_rank_delta1	0.00555723253040321	0.00859717623389978	0.00184155313476321
mcuenta_corriente_rank_lag1	0.00534638389148498	0.00217819354257441	0.00196982051728403
Visa_Finiciomora	0.00522221235359598	0.00375923044267175	0.000485583662400249
vm_status06_delta3	0.00505201483763462	0.00113273676900719	0.000137429338415165
vm_Finiciomora	0.00502469929271906	0.00241805389171742	0.000577203221343693
mprestamos_personales_rank_lag1	0.00481839332575347	0.00186653776599553	0.00125518795752517
vm_mconsumospesos_rank	0.00480163814133144	0.000446470027992553	0.000503907574188938
mpayroll_sobre_edad_rank_lag1	0.00468209211773856	0.00189941339501684	0.000943681457117465
mautoservicio_rank	0.00463291025814814	0.00246800339754153	0.0016125042374046
mactivos_margen_rank	0.00447198106158683	0.00581460560760821	0.00535974419819143
mprestamos_personales_rank_delta2	0.00443650115877394	0.0088547073640028	0.00180490531118583
mcuentas_saldo_rank_delta2	0.00441314497445466	0.00258075218936887	0.00450768230001741
foto_mes	0.0043983506540365	0.00450765227021081	0.00252869982683903
Visa_Finiciomora_delta1	0.00433599374314145	0.000770719578894562	0.000164915206098198
vmr_msaldototal	0.00392272687582452	0.0010083815591212	0.000916195589434432
mpayroll_rank_lag1	0.0038136409733306	0.00189452191623564	0.000778766251019268
Visa_msaldototal_rank	0.00315070825187213	0.00152352984101468	0.00156669445793288
thomebanking	0.00311656882594816	0.00183688685422499	0.00482835075631946
ctarjeta_debito_transacciones	0.00297151241303239	0.00161366814781503	0.000540555397766315
ctrx_quarter_normalizado_delta2	0.00296126603263921	0.00239332528039834	0.00287685415082412
Master_status	0.00289287651970837	0.00102352748730854	0.000393964103456806
vm_status04	0.00288142591993938	0.000832255574973282	0.000256534765041641
mprestamos_personales_rank_lag2	0.00287638680281639	0.00144944437676383	0.00102613906016656
ccaja_ahorro_delta3	0.00278492002572299	0.00317435630221861	0.000458097794717216
ctrx_quarter_delta2	0.00271487397631912	0.00205173176452268	0.00301428348923928
mcomisiones_mantenimiento_rank_delta3	0.00265870906850689	0.00206803025047005	0.00142010316362337
ctrx_quarter_normalizado_delta3	0.002637378751412	0.00172286168654849	0.00303260740102797
ctrx_quarter_delta3	0.00262479995606463	0.00173809469923951	0.00313338891586576
vm_mpagospesos_rank	0.00257671173382164	0.0005152448653171	0.000503907574188938
cproductos_delta2	0.00257551281514136	0.00239783799805063	0.000393964103456806
Visa_delinquency	0.00254940607395366	0.0013881634565769	0.000879547765857055
vm_msaldototal_rank	0.00249123426056471	0.00113116791942064	0.000732956471547546
cproductos_delta3	0.00247298589741533	0.00212386111552835	0.000458097794717216
mrentabilidad_annual_rank_delta1	0.00244416868018334	0.00212111552911287	0.00660577019982226
mprestamos_personales_rank_lag3	0.00240185111970573	0.00183301780464339	0.00149339881077813
vm_Finiciomora_lag1	0.00240040328722319	0.00170862147705505	0.000467259750611561
Visa_status	0.00239929372514754	0.000736871871591875	0.000375640191668117
vm_mpagospesos_rank_lag1	0.00236558273855602	0.000336183117077088	0.000522231485977627
mtarjeta_visa_consumo_rank_delta3	0.00229757352555382	0.00129389125967918	0.00254702373862772
mv_status07_rank	0.00215688147812704	0.000231699913386052	0.000137429338415165
tcallcenter	0.00212584015097781	0.00193919905651721	0.00197898247317837
ccaja_ahorro_delta2	0.00211076237601404	0.00270884738309226	0.00040312605935115
