Feature	Gain	Cover	Frequency
ctrx_quarter	0.0824824928419082	0.00531635855428379	0.0010617363049746
mcaja_ahorro_rank	0.0624669754653911	0.00601490539217306	0.00164752185254679
vm_status06_delta2	0.0433790234350043	0.00101567871338732	0.000137293487712233
ctrx_quarter_lag1	0.0269912105203775	0.00123155068951357	0.000604091345933825
cdescubierto_preacordado_delta3	0.0237211332792144	0.0015527955833864	0.000494256555764038
cdescubierto_preacordado_delta2	0.0227180505624344	0.00108416637341893	0.000356963068051805
mtarjeta_visa_consumo_rank	0.0214407141318152	0.0040065653886623	0.00133632328039907
ctarjeta_visa_transacciones	0.0180097345936712	0.00301388266519822	0.000979360212347261
ctrx_quarter_normalizado_lag1	0.0162157374611806	0.00184061207339536	0.000585785547572194
mcuentas_saldo_rank	0.0154339180062211	0.00597194715615717	0.00272756395588303
mpayroll_rank	0.015292338080384	0.0101960462663671	0.00175735664271658
mprestamos_personales_rank	0.0146321995715003	0.00884912665179629	0.00276417555260629
ctrx_quarter_normalizado	0.0136625762523011	0.0036875672910272	0.000741384833646057
mcaja_ahorro_rank_lag2	0.0118863117894992	0.00114209500403474	0.00136378197794151
mpasivos_margen_rank	0.0097075138440716	0.00232224179519372	0.00374353576495355
mcaja_ahorro_rank_lag1	0.00954634395100203	0.00220548036451865	0.00160175735664272
cdescubierto_preacordado	0.00954066239174252	0.00247771567587214	0.00207770811404512
mprestamos_personales_rank_delta3	0.00822886108930942	0.0037860366885236	0.00140954647384559
mpayroll_sobre_edad_rank	0.00791559382959288	0.00731199149750385	0.00140954647384559
mcuentas_saldo_rank_lag1	0.00785374685403723	0.00146017120341377	0.00143700517138804
mpayroll_sobre_edad_rank_lag2	0.0074267372514181	0.00165621423030343	0.000970207313166446
mautoservicio_rank	0.00663833513141447	0.00354557570927775	0.00191295592879044
vm_Finiciomora	0.0065152284790181	0.00239028802102163	0.0005308681524873
mcuenta_corriente_rank	0.0064363848155953	0.00424422581088528	0.00315775021738136
mcuentas_saldo_rank_delta3	0.00566957028610932	0.00278280452772518	0.00545512791176605
Visa_Finiciomora_delta1	0.00559367138817959	0.000721842365362996	0.000146446386893048
foto_mes	0.00520208773400912	0.00404097555860095	0.00271841105670221
Visa_mpagospesos_rank	0.00514410348147564	0.00120913591357409	0.00219669580339573
Visa_msaldototal_rank	0.00501364693873847	0.00169439600666942	0.00173905084435495
vmr_mpagospesos	0.00499552179972109	0.000499974875262593	0.000723079035284426
mpayroll_sobre_edad_rank_lag1	0.00491769251079858	0.00229886582654036	0.000814608027092582
mprestamos_personales_rank_delta2	0.00464108059533139	0.00929038118588563	0.00180312113862066
mv_status07_rank	0.00452227422185392	5.93138594822024e-05	8.23760926273397e-05
vm_mpagospesos_rank	0.00433939259229674	0.00050972201767375	0.000622397144295456
