envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
145	957000	765000	1125000	885000	1005000	1005000	
146	954000	762000	1122000	882000	1002000	1002000	
147	975000	759000	1119000	879000	1119000	999000	
148	972000	756000	1116000	876000	1116000	996000	
149	993000	753000	1113000	873000	1113000	1113000	
150	990000	750000	1110000	870000	1110000	1110000	
151	1011000	867000	1107000	867000	1107000	1107000	
152	1032000	984000	1104000	864000	1104000	1104000	
153	1053000	981000	1221000	861000	1101000	1101000	
154	1074000	1098000	1218000	858000	1098000	1098000	
155	1071000	1095000	1215000	855000	1095000	1095000	
156	1092000	1092000	1212000	972000	1092000	1092000	
157	1089000	1089000	1209000	969000	1089000	1089000	
158	1086000	1086000	1206000	966000	1086000	1086000	
159	1107000	1083000	1203000	1083000	1083000	1083000	
160	1104000	1080000	1200000	1080000	1080000	1080000	
161	1101000	1077000	1197000	1077000	1077000	1077000	
162	1098000	1074000	1194000	1074000	1074000	1074000	
163	1095000	1071000	1191000	1071000	1071000	1071000	
164	1092000	1068000	1188000	1068000	1068000	1068000	
165	1089000	1065000	1185000	1065000	1065000	1065000	
166	1110000	1062000	1182000	1182000	1062000	1062000	
167	1107000	1059000	1179000	1179000	1059000	1059000	
168	1104000	1056000	1176000	1176000	1056000	1056000	
169	1125000	1053000	1173000	1173000	1053000	1173000	
170	1122000	1050000	1170000	1170000	1050000	1170000	
171	1119000	1047000	1167000	1167000	1047000	1167000	
172	1140000	1044000	1164000	1284000	1044000	1164000	
173	1137000	1041000	1161000	1281000	1041000	1161000	
174	1134000	1038000	1158000	1278000	1038000	1158000	
175	1131000	1035000	1155000	1275000	1035000	1155000	
176	1128000	1032000	1152000	1272000	1032000	1152000	
177	1125000	1029000	1149000	1269000	1029000	1149000	
178	1122000	1026000	1146000	1266000	1026000	1146000	
179	1143000	1023000	1263000	1263000	1023000	1143000	
180	1140000	1020000	1260000	1260000	1020000	1140000	
181	1137000	1017000	1257000	1257000	1017000	1137000	
182	1134000	1014000	1254000	1254000	1014000	1134000	
183	1131000	1011000	1251000	1251000	1011000	1131000	
184	1128000	1008000	1248000	1248000	1008000	1128000	
185	1125000	1005000	1245000	1245000	1005000	1125000	
186	1122000	1002000	1242000	1242000	1002000	1122000	
187	1119000	999000	1239000	1239000	999000	1119000	
188	1116000	996000	1236000	1236000	996000	1116000	
189	1113000	993000	1233000	1233000	993000	1113000	
190	1134000	990000	1230000	1230000	1110000	1110000	
191	1131000	987000	1227000	1227000	1107000	1107000	
192	1128000	984000	1224000	1224000	1104000	1104000	
193	1125000	981000	1221000	1221000	1101000	1101000	
194	1122000	978000	1218000	1218000	1098000	1098000	
195	1143000	975000	1215000	1215000	1095000	1215000	
196	1140000	972000	1212000	1212000	1092000	1212000	
197	1137000	969000	1209000	1209000	1089000	1209000	
198	1134000	966000	1206000	1206000	1086000	1206000	
199	1131000	963000	1203000	1203000	1083000	1203000	
200	1128000	960000	1200000	1200000	1080000	1200000	
201	1149000	957000	1197000	1197000	1197000	1197000	
202	1146000	954000	1194000	1194000	1194000	1194000	
203	1143000	951000	1191000	1191000	1191000	1191000	
204	1140000	948000	1188000	1188000	1188000	1188000	
205	1137000	945000	1185000	1185000	1185000	1185000	
206	1134000	942000	1182000	1182000	1182000	1182000	
207	1131000	939000	1179000	1179000	1179000	1179000	
208	1128000	936000	1176000	1176000	1176000	1176000	
209	1125000	933000	1173000	1173000	1173000	1173000	
210	1122000	930000	1170000	1170000	1170000	1170000	
211	1119000	927000	1167000	1167000	1167000	1167000	
212	1116000	924000	1164000	1164000	1164000	1164000	
213	1137000	921000	1161000	1161000	1281000	1161000	
214	1134000	918000	1158000	1158000	1278000	1158000	
215	1131000	915000	1155000	1155000	1275000	1155000	
216	1128000	912000	1152000	1152000	1272000	1152000	
217	1125000	909000	1149000	1149000	1269000	1149000	
218	1146000	1026000	1146000	1146000	1266000	1146000	
219	1143000	1023000	1143000	1143000	1263000	1143000	
220	1140000	1020000	1140000	1140000	1260000	1140000	
221	1137000	1017000	1137000	1137000	1257000	1137000	
222	1158000	1014000	1254000	1134000	1254000	1134000	
223	1155000	1011000	1251000	1131000	1251000	1131000	
224	1152000	1008000	1248000	1128000	1248000	1128000	
225	1149000	1005000	1245000	1125000	1245000	1125000	
226	1170000	1002000	1242000	1122000	1362000	1122000	
227	1167000	999000	1239000	1119000	1359000	1119000	
228	1164000	996000	1236000	1116000	1356000	1116000	
229	1161000	993000	1233000	1113000	1353000	1113000	
230	1158000	990000	1230000	1110000	1350000	1110000	
231	1155000	987000	1227000	1107000	1347000	1107000	
232	1176000	984000	1344000	1104000	1344000	1104000	
233	1173000	981000	1341000	1101000	1341000	1101000	
234	1194000	978000	1338000	1218000	1338000	1098000	
235	1191000	975000	1335000	1215000	1335000	1095000	
236	1188000	972000	1332000	1212000	1332000	1092000	
237	1209000	1089000	1329000	1209000	1329000	1089000	
238	1206000	1086000	1326000	1206000	1326000	1086000	
239	1203000	1083000	1323000	1203000	1323000	1083000	
240	1200000	1080000	1320000	1200000	1320000	1080000	
241	1221000	1077000	1317000	1317000	1317000	1077000	
242	1242000	1074000	1314000	1314000	1314000	1194000	
243	1263000	1071000	1311000	1311000	1311000	1311000	
244	1260000	1068000	1308000	1308000	1308000	1308000	
245	1281000	1065000	1425000	1305000	1305000	1305000	
246	1278000	1062000	1422000	1302000	1302000	1302000	
247	1275000	1059000	1419000	1299000	1299000	1299000	
248	1296000	1056000	1416000	1296000	1296000	1416000	
249	1317000	1053000	1413000	1293000	1293000	1533000	
250	1338000	1170000	1410000	1290000	1290000	1530000	
251	1335000	1167000	1407000	1287000	1287000	1527000	
252	1356000	1164000	1404000	1284000	1404000	1524000	
253	1353000	1161000	1401000	1281000	1401000	1521000	
254	1398000	1278000	1398000	1278000	1518000	1518000	
255	1395000	1275000	1395000	1275000	1515000	1515000	
256	1392000	1272000	1392000	1272000	1512000	1512000	
257	1389000	1269000	1389000	1269000	1509000	1509000	
258	1410000	1266000	1386000	1266000	1626000	1506000	
259	1407000	1263000	1383000	1263000	1623000	1503000	
260	1452000	1260000	1380000	1380000	1740000	1500000	
261	1449000	1257000	1377000	1377000	1737000	1497000	
262	1446000	1254000	1374000	1374000	1734000	1494000	
263	1443000	1251000	1371000	1371000	1731000	1491000	
264	1440000	1248000	1368000	1368000	1728000	1488000	
265	1437000	1245000	1365000	1365000	1725000	1485000	
266	1482000	1242000	1482000	1362000	1842000	1482000	
267	1479000	1239000	1479000	1359000	1839000	1479000	
268	1476000	1236000	1476000	1356000	1836000	1476000	
269	1473000	1233000	1473000	1353000	1833000	1473000	
270	1494000	1230000	1470000	1350000	1950000	1470000	
271	1515000	1227000	1467000	1467000	1947000	1467000	
272	1536000	1224000	1584000	1464000	1944000	1464000	
273	1533000	1221000	1581000	1461000	1941000	1461000	
274	1530000	1218000	1578000	1458000	1938000	1458000	
275	1527000	1215000	1575000	1455000	1935000	1455000	
276	1524000	1212000	1572000	1452000	1932000	1452000	
277	1521000	1209000	1569000	1449000	1929000	1449000	
278	1518000	1206000	1566000	1446000	1926000	1446000	
279	1515000	1203000	1563000	1443000	1923000	1443000	
280	1512000	1200000	1560000	1440000	1920000	1440000	
281	1509000	1197000	1557000	1437000	1917000	1437000	
282	1506000	1194000	1554000	1434000	1914000	1434000	
283	1551000	1311000	1551000	1551000	1911000	1431000	
284	1572000	1308000	1668000	1548000	1908000	1428000	
285	1569000	1305000	1665000	1545000	1905000	1425000	
286	1566000	1302000	1662000	1542000	1902000	1422000	
287	1563000	1299000	1659000	1539000	1899000	1419000	
288	1560000	1296000	1656000	1536000	1896000	1416000	
289	1557000	1293000	1653000	1533000	1893000	1413000	
290	1578000	1290000	1650000	1530000	2010000	1410000	
291	1575000	1287000	1647000	1527000	2007000	1407000	
292	1572000	1284000	1644000	1524000	2004000	1404000	
293	1569000	1281000	1641000	1521000	2001000	1401000	
294	1590000	1398000	1638000	1518000	1998000	1398000	
295	1587000	1395000	1635000	1515000	1995000	1395000	
296	1584000	1392000	1632000	1512000	1992000	1392000	
297	1629000	1509000	1629000	1509000	2109000	1389000	
298	1650000	1506000	1626000	1506000	2106000	1506000	
299	1647000	1503000	1623000	1503000	2103000	1503000	
300	1668000	1500000	1620000	1500000	2220000	1500000	
301	1665000	1497000	1617000	1497000	2217000	1497000	
302	1662000	1494000	1614000	1494000	2214000	1494000	
303	1683000	1491000	1611000	1491000	2211000	1611000	
304	1704000	1488000	1608000	1488000	2328000	1608000	
305	1701000	1485000	1605000	1485000	2325000	1605000	
306	1722000	1602000	1602000	1482000	2322000	1602000	
307	1743000	1599000	1599000	1599000	2319000	1599000	
308	1740000	1596000	1596000	1596000	2316000	1596000	
