Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.269951698199131	0.0224605210856086	0.0088553624139062
mcuenta_corriente_rank	0.171404057064789	0.0360456453870856	0.0186946539849131
mpayroll_sobre_edad_rank	0.0284731453985164	0.00757972926143375	0.00229583469990161
mcuentas_saldo_rank	0.026002516328699	0.0203407846501181	0.0115338362304581
vm_status04	0.0247514448312263	0.00136143890741736	0.00163988192850115
foto_mes	0.0233680948107673	0.0250721059275858	0.0163441565540614
mprestamos_personales_rank	0.0225790746211959	0.0154608672288624	0.00595823767355417
mcaja_ahorro_rank	0.0215434852866561	0.0126590180295489	0.00792609598775555
cdescubierto_preacordado	0.0179443646199242	0.0147343380397632	0.0112058598447578
mpayroll_rank	0.014465114941224	0.00808555852920014	0.00229583469990161
vm_status02	0.0133583825431753	0.00591921788683013	0.0025691483546518
ctrx_quarter	0.0121550567306173	0.0139797138673066	0.00787143325680551
mrentabilidad_annual_rank	0.0120404156973388	0.0202336733610354	0.0241062643489669
mpasivos_margen_rank	0.0109108581712495	0.0123112514320599	0.0126817535804089
mtarjeta_visa_consumo_rank	0.0104851715067817	0.0105071759282517	0.0062862140592544
vm_status01	0.0104239132113751	0.00631514373450013	0.00289712474035203
thomebanking	0.00984017627479463	0.0116675914222953	0.0268940636274188
vm_mpagospesos_rank	0.00978403735902	0.00417984500945871	0.00393571662840276
mactivos_margen_rank	0.00912012774558166	0.0170747792393974	0.0170547720564119
vm_msaldototal_rank	0.00905913564139666	0.00343447745268497	0.0044276812069531
Master_fechaalta	0.00813210255069877	0.0163262848966727	0.0280966437083197
tcallcenter	0.00740044838023289	0.00995866847035992	0.00781677052585547
Visa_delinquency	0.00695689763777186	0.00571763270738407	0.0037170657046026
mrentabilidad_rank	0.00629998451858255	0.012084354716609	0.0179840384825626
mcomisiones_mantenimiento_rank	0.00609064575536664	0.0161686886391897	0.0150322510112605
vm_status06	0.00600754349509801	0.00301129793481825	0.0018585328523013
Master_Fvencimiento	0.00565479115193805	0.01366666337773	0.0264020990488685
