Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.105777231517148	0.00845403866877351	0.00561722912966252
mcaja_ahorro_rank	0.0831339759893996	0.01028970359002	0.0077708703374778
ctrx_quarter	0.0764412353589031	0.00576227318559874	0.00435168738898757
mcuenta_corriente_rank	0.0398080926382956	0.00771283902700156	0.0117673179396092
cdescubierto_preacordado	0.0314116119231964	0.00477041413852406	0.00663854351687389
mtarjeta_visa_consumo_rank	0.028721938754227	0.0026511152864594	0.0030417406749556
mpayroll_sobre_edad_rank	0.0274344308459339	0.00498876427867102	0.00317495559502664
mpayroll_rank	0.0243665106158428	0.00798541497940707	0.00490674955595027
vm_status06_delta1	0.0232909205176634	0.00152568833174399	0.000821492007104796
mprestamos_personales_rank	0.0231114765317505	0.0102550504013972	0.00994671403197158
ctrx_quarter_lag1	0.0224173902579237	0.00185404692236614	0.00246447602131439
Visa_status	0.0202931321603608	0.00190469613844792	0.0019316163410302
vm_status01	0.0181742679641986	0.0011126113566332	0.00179840142095915
vm_mpagospesos_rank	0.0179739659570561	0.000626823391777583	0.00157637655417407
mcuentas_saldo_rank	0.0170470523480378	0.0128112451375091	0.0100355239786856
mprestamos_personales_rank_delta1	0.0167352023899571	0.0199257720496337	0.0128774422735346
foto_mes	0.0137077553490458	0.0112561013947574	0.0159191829484902
mcaja_ahorro_rank_lag1	0.0135354815884355	0.00381099572021073	0.00501776198934281
ctarjeta_visa_transacciones	0.0129432008790503	0.00601036374618461	0.00437388987566608
ctarjeta_visa	0.012745151158254	0.00117088575138939	0.00088809946714032
ctrx_quarter_normalizado_lag1	0.0120560727252391	0.00121818283121466	0.00244227353463588
cdescubierto_preacordado_delta1	0.0106954526189225	0.00825270907687668	0.00490674955595027
vm_Finiciomora	0.0103098633292431	0.0039752884103392	0.00273090586145648
ctrx_quarter_delta1	0.0101434412720968	0.00470895467802852	0.00484014209591474
cpayroll_trx	0.00965880675186838	0.00679810294150074	0.0024866785079929
mprestamos_personales_rank_lag1	0.00950472724268356	0.00629443773931488	0.00650532859680284
cproductos_delta1	0.00879681661672561	0.00532736376377252	0.00290852575488455
Master_status	0.00761316093034454	0.00150266736156216	0.00130994671403197
mpasivos_margen_rank	0.00758864524553154	0.00280619349435103	0.00477353463587922
mpayroll_sobre_edad_rank_lag1	0.0071671880422466	0.00265859814495006	0.00255328596802842
ccomisiones_mantenimiento_delta1	0.00596524706332622	0.00297220572138997	0.00155417406749556
mautoservicio_rank	0.00565213704481128	0.00262092986748163	0.00188721136767318
Visa_delinquency	0.00561945866775395	0.000969024430987588	0.00239786856127886
vm_Finiciomora_lag1	0.00535447530029092	0.00451453804109241	0.00270870337477797
mpayroll_rank_lag1	0.00508654752129703	0.00183753888824285	0.00177619893428064
mactivos_margen_rank	0.0048426944003008	0.012055081900872	0.0100355239786856
mcuentas_saldo_rank_delta1	0.00457951749770137	0.00450874367202967	0.00603907637655417
tcallcenter	0.00449633529639573	0.00230048536320023	0.00475133214920071
ctrx_quarter_normalizado_delta1	0.00433730003281837	0.0053104271313779	0.00508436944937833
Visa_mpagospesos_rank	0.00427765913803626	0.00105763535323431	0.0033303730017762
internet	0.00413338742652286	0.00365755034232994	0.00224245115452931
thomebanking	0.00412724762809159	0.00328264624701167	0.00519538188277087
vm_Finiciomora_delta1	0.00394692001961906	0.00263888428525511	0.00213143872113677
ccaja_ahorro	0.0039042115765219	0.00388646066317721	0.00197602131438721
Visa_Finiciomora	0.0038058782881412	0.00402599466982688	0.00228685612788632
vmr_mpagospesos	0.00363719332787344	0.00088550395802285	0.00213143872113677
internet_lag1	0.00358413684330162	0.00363061206099014	0.0025088809946714
Visa_msaldototal_rank	0.00312006850037238	0.000984696466663642	0.00281971580817052
vm_msaldopesos_rank	0.00289171804506031	0.000774301563458383	0.00148756660746004
ccaja_seguridad	0.0028668862144841	0.00792700426175202	0.00288632326820604
Visa_msaldopesos_rank	0.00284170951905063	0.00180950803999491	0.00299733570159858
mrentabilidad_annual_rank_lag1	0.00280506363229975	0.00608599322235541	0.00885879218472469
cpayroll_trx_lag1	0.00263152236961052	0.0003490261108806	0.000399644760213144
mrentabilidad_annual_rank	0.00248034786833394	0.0101311308795551	0.00988010657193606
Visa_mpagominimo_rank	0.00235272742152183	0.00466456459752201	0.00588365896980462
cprestamos_personales_delta1	0.00234290709051693	0.00445023563689403	0.00186500888099467
cliente_vip_lag1	0.00233186353142784	0.00311612957911401	0.00226465364120782
Visa_Finiciomora_delta1	0.00228732984369763	0.00166679328103772	0.00117673179396092
vm_mpagominimo_rank	0.0022808286284657	0.00185113835452672	0.00279751332149201
ccaja_ahorro_delta1	0.00227651668035511	0.00408653144804204	0.00204262877442274
mrentabilidad_annual_rank_delta1	0.00225536789303638	0.00672561184451306	0.00974689165186501
mcomisiones_mantenimiento_rank	0.00217330852832529	0.0101037340596525	0.00801509769094139
mcuenta_corriente_rank_lag1	0.00212772376075647	0.00565091193218412	0.00717140319715808
mcuenta_debitos_automaticos_rank	0.00211743077243621	0.00371775791573758	0.00297513321492007
mplazo_fijo_dolares_rank	0.00200484846116401	0.0076842512616521	0.0030639431616341
mpayroll_rank_delta1	0.00193390173620651	0.00855746586027538	0.00424067495559503
active_quarter	0.00191952374722485	0.00180325937660172	0.00157637655417407
mcomisiones_mantenimiento_rank_delta1	0.00187623919540604	0.00286859298312017	0.00344138543516874
Visa_Finiciomora_lag1	0.00183828994186483	0.00171180968568511	0.00133214920071048
vm_status04	0.00183562905505652	0.000918610308473509	0.00088809946714032
Visa_mpagominimo_rank_lag1	0.00178712918424823	0.00230876556071707	0.0044404973357016
vm_mconsumospesos_rank	0.00173927353924596	0.000797541965067751	0.00128774422735346
mtarjeta_master_consumo_rank	0.00171757888521756	0.00183456628785399	0.0013765541740675
cliente_vip_delta1	0.00169383200506458	0.00355420909653384	0.0044404973357016
Master_delinquency	0.00169164894872175	0.00110817057477021	0.000865896980461812
mttarjeta_visa_debitos_automaticos_rank_delta1	0.00166798870807583	0.00362744641722724	0.00386323268206039
ccaja_seguridad_lag1	0.00161702001019534	0.0008556662893028	0.0005550621669627
Master_fechaalta_lag1	0.00154604319836278	0.00394464265361313	0.00586145648312611
cliente_edad_lag1	0.0015291414906278	0.00882901376271828	0.00732682060390764
mtransferencias_recibidas_rank	0.0015239694598965	0.00619454993775698	0.00732682060390764
mcaja_ahorro_dolares_rank_delta1	0.00146246230282991	0.0027967950799999	0.00259769094138544
mcaja_ahorro_rank_delta1	0.00143469803161244	0.00556568140263234	0.00623889875666075
cdescubierto_preacordado_lag1	0.00141841281901797	0.00311724772674886	0.00406305506216696
vm_status02	0.00141276459972162	0.000920440080093559	0.00119893428063943
vm_fechaalta	0.00136688939008707	0.00627524912644393	0.00541740674955595
mpagomiscuentas_rank	0.0013624122725739	0.00361295457801817	0.0024866785079929
Master_fechaalta	0.00134876933271581	0.00640233385378577	0.00714920071047957
cproductos	0.00132150899186926	0.00135925837074595	0.00077708703374778
mactivos_margen_rank_lag1	0.0013024880628727	0.00830511736581624	0.00672735346358792
mcuenta_corriente_rank_delta1	0.00130016886251947	0.00363475733817339	0.00350799289520426
Visa_fechaalta	0.00128166037588406	0.00427494291135151	0.0049955595026643
ctarjeta_visa_transacciones_delta1	0.00127877271680788	0.00689987315238685	0.00339698046181172
Visa_delinquency_lag1	0.00127042992581908	0.000564524126865548	0.00188721136767318
mtransferencias_emitidas_rank	0.0012530120915727	0.00442541308233115	0.00430728241563055
chomebanking_transacciones	0.00124221299230885	0.00438399804726042	0.00572824156305506
mactivos_margen_rank_delta1	0.00123756852018208	0.00321485471473	0.00719360568383659
cliente_edad	0.00122246478118206	0.00526198858370614	0.00672735346358792
vm_msaldototal_rank	0.00120578156373823	0.000449149398136376	0.0013765541740675
vm_msaldototal_rank_lag1	0.0011953350728018	0.000607687531947179	0.000976909413854352
mtarjeta_visa_consumo_rank_delta1	0.00117964608471489	0.00367976278624262	0.00235346358792185
vm_status06	0.00117949434049682	0.000254378552328048	0.000643872113676732
mpayroll_sobre_edad_rank_delta1	0.00112532650865775	0.00535257519612759	0.00268650088809947
mcomisiones_mantenimiento_rank_lag1	0.00112312961356997	0.00667511908836748	0.00619449378330373
thomebanking_lag1	0.00112078920327229	0.000916149691682435	0.00401865008880995
vm_fechaalta_lag1	0.00108270709266903	0.00207340160773224	0.00408525754884547
mcomisiones_otras_rank_lag1	0.0010746983307235	0.00157321935181294	0.00512877442273535
mcomisiones_rank_lag1	0.00103075734345721	0.0025554440605755	0.00441829484902309
mcuentas_saldo_rank_lag1	0.00103044362082861	0.00617659455119132	0.00519538188277087
mrentabilidad_rank_delta1	0.00102480582916963	0.00129358085832166	0.00503996447602131
mcomisiones_otras_rank_delta1	0.001012655536667	0.00161243684330096	0.00441829484902309
tcuentas_lag1	0.00101098815765905	0.00386648829743701	0.00237566607460036
vm_status02_lag1	0.00100456989745262	0.00103156370262764	0.000710479573712256
mrentabilidad_rank	0.000949962338535969	0.00189521874446809	0.00492895204262877
vm_mpagominimo_rank_lag1	0.000941285859465573	0.00276029631921805	0.0030639431616341
mpasivos_margen_rank_delta1	0.000934728061949194	0.0053140136692077	0.00575044404973357
vmr_mpagominimo	0.000907466520965619	0.00150049219246539	0.00261989342806394
Visa_fechaalta_lag1	0.000900655073023562	0.00121339545241797	0.00366341030195382
