envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
147	1023000	1119000	1119000	999000	879000	999000	
148	1020000	1116000	1116000	996000	876000	996000	
149	1017000	1113000	1113000	993000	873000	993000	
150	1014000	1110000	1110000	990000	870000	990000	
151	1035000	1107000	1107000	987000	867000	1107000	
152	1032000	1104000	1104000	984000	864000	1104000	
153	1053000	1101000	1101000	981000	861000	1221000	
154	1074000	1098000	1098000	978000	978000	1218000	
155	1071000	1095000	1095000	975000	975000	1215000	
156	1092000	1092000	1212000	972000	972000	1212000	
157	1089000	1089000	1209000	969000	969000	1209000	
158	1110000	1086000	1206000	1086000	966000	1206000	
159	1107000	1083000	1203000	1083000	963000	1203000	
160	1104000	1080000	1200000	1080000	960000	1200000	
161	1101000	1077000	1197000	1077000	957000	1197000	
162	1146000	1194000	1314000	1074000	954000	1194000	
163	1191000	1191000	1431000	1071000	1071000	1191000	
164	1212000	1188000	1428000	1068000	1068000	1308000	
165	1209000	1185000	1425000	1065000	1065000	1305000	
166	1206000	1182000	1422000	1062000	1062000	1302000	
167	1203000	1179000	1419000	1059000	1059000	1299000	
168	1200000	1176000	1416000	1056000	1056000	1296000	
169	1221000	1173000	1413000	1053000	1053000	1413000	
170	1218000	1170000	1410000	1050000	1050000	1410000	
171	1215000	1167000	1407000	1047000	1047000	1407000	
172	1236000	1164000	1404000	1164000	1044000	1404000	
173	1305000	1281000	1521000	1281000	1041000	1401000	
174	1326000	1398000	1518000	1278000	1038000	1398000	
175	1347000	1515000	1515000	1275000	1035000	1395000	
176	1344000	1512000	1512000	1272000	1032000	1392000	
177	1365000	1509000	1509000	1269000	1029000	1509000	
178	1362000	1506000	1506000	1266000	1026000	1506000	
179	1431000	1503000	1503000	1383000	1143000	1623000	
180	1452000	1500000	1500000	1500000	1140000	1620000	
181	1473000	1617000	1497000	1497000	1137000	1617000	
182	1470000	1614000	1494000	1494000	1134000	1614000	
183	1491000	1611000	1611000	1491000	1131000	1611000	
184	1488000	1608000	1608000	1488000	1128000	1608000	
185	1485000	1605000	1605000	1485000	1125000	1605000	
186	1482000	1602000	1602000	1482000	1122000	1602000	
187	1479000	1599000	1599000	1479000	1119000	1599000	
188	1500000	1596000	1596000	1476000	1116000	1716000	
189	1497000	1593000	1593000	1473000	1113000	1713000	
190	1494000	1590000	1590000	1470000	1110000	1710000	
191	1515000	1587000	1587000	1467000	1227000	1707000	
192	1512000	1584000	1584000	1464000	1224000	1704000	
193	1509000	1581000	1581000	1461000	1221000	1701000	
194	1530000	1698000	1578000	1458000	1218000	1698000	
195	1527000	1695000	1575000	1455000	1215000	1695000	
196	1524000	1692000	1572000	1452000	1212000	1692000	
197	1521000	1689000	1569000	1449000	1209000	1689000	
198	1542000	1686000	1686000	1446000	1206000	1686000	
199	1563000	1683000	1683000	1443000	1203000	1803000	
200	1584000	1680000	1800000	1440000	1200000	1800000	
201	1581000	1677000	1797000	1437000	1197000	1797000	
202	1578000	1674000	1794000	1434000	1194000	1794000	
203	1599000	1671000	1911000	1431000	1191000	1791000	
204	1596000	1668000	1908000	1428000	1188000	1788000	
205	1593000	1665000	1905000	1425000	1185000	1785000	
206	1614000	1662000	1902000	1422000	1302000	1782000	
207	1611000	1659000	1899000	1419000	1299000	1779000	
208	1632000	1776000	1896000	1416000	1296000	1776000	
209	1653000	1773000	1893000	1413000	1413000	1773000	
210	1674000	1770000	1890000	1530000	1410000	1770000	
211	1671000	1767000	1887000	1527000	1407000	1767000	
212	1668000	1764000	1884000	1524000	1404000	1764000	
213	1665000	1761000	1881000	1521000	1401000	1761000	
214	1662000	1758000	1878000	1518000	1398000	1758000	
215	1659000	1755000	1875000	1515000	1395000	1755000	
216	1656000	1752000	1872000	1512000	1392000	1752000	
217	1677000	1749000	1869000	1509000	1509000	1749000	
218	1698000	1746000	1866000	1506000	1506000	1866000	
219	1719000	1743000	1863000	1503000	1623000	1863000	
220	1716000	1740000	1860000	1500000	1620000	1860000	
221	1713000	1737000	1857000	1497000	1617000	1857000	
222	1710000	1734000	1854000	1494000	1614000	1854000	
223	1731000	1851000	1851000	1491000	1611000	1851000	
224	1752000	1848000	1968000	1488000	1608000	1848000	
225	1749000	1845000	1965000	1485000	1605000	1845000	
226	1770000	1842000	1962000	1482000	1722000	1842000	
227	1767000	1839000	1959000	1479000	1719000	1839000	
228	1764000	1836000	1956000	1476000	1716000	1836000	
229	1785000	1833000	1953000	1593000	1713000	1833000	
230	1782000	1830000	1950000	1590000	1710000	1830000	
231	1803000	1827000	1947000	1587000	1707000	1947000	
232	1800000	1824000	1944000	1584000	1704000	1944000	
233	1821000	1821000	1941000	1701000	1701000	1941000	
234	1842000	1818000	1938000	1698000	1818000	1938000	
235	1839000	1815000	1935000	1695000	1815000	1935000	
236	1836000	1812000	1932000	1692000	1812000	1932000	
237	1857000	1809000	1929000	1689000	1929000	1929000	
238	1854000	1806000	1926000	1686000	1926000	1926000	
239	1851000	1803000	1923000	1683000	1923000	1923000	
240	1848000	1800000	1920000	1680000	1920000	1920000	
241	1845000	1797000	1917000	1677000	1917000	1917000	
242	1842000	1794000	1914000	1674000	1914000	1914000	
243	1863000	1911000	1911000	1671000	1911000	1911000	
244	1884000	1908000	1908000	1668000	2028000	1908000	
245	1881000	1905000	1905000	1665000	2025000	1905000	
246	1902000	1902000	2022000	1662000	2022000	1902000	
247	1899000	1899000	2019000	1659000	2019000	1899000	
248	1920000	2016000	2016000	1656000	2016000	1896000	
249	1941000	2013000	2133000	1653000	2013000	1893000	
