Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.204614828381911	0.0114475968566982	0.00389126688531881
mcuenta_corriente_rank_lag1	0.0899657606369297	0.0114264431098408	0.0068931013397076
Visa_status	0.0464865199402321	0.0043988220812515	0.00227917060425816
mcaja_ahorro_rank	0.0351526742816445	0.00697039248981314	0.00277947634665629
mpayroll_sobre_edad_rank	0.0261002974014639	0.00781800337080449	0.00183445438879315
mprestamos_personales_rank	0.0242968750945942	0.0104087325436694	0.00361331925065318
Visa_msaldopesos_rank	0.0183136497478438	0.00426301968062477	0.00455834120851632
cdescubierto_preacordado	0.0177993620812675	0.00811875670295381	0.00600366890877759
mpayroll_rank	0.016932588685264	0.00787695819030356	0.0019456334426594
mpasivos_margen_rank	0.016045033905549	0.00485182823145364	0.0051698260047807
mcuentas_saldo_rank	0.0157830829649381	0.0128995145378679	0.00633720607037634
ctrx_quarter	0.0154049662748202	0.00816251168257861	0.00294624492745567
mpayroll_rank_lag1	0.0153311567826433	0.00266921048397839	0.00122296959252877
vm_status01	0.0151707914566576	0.00430976465844377	0.00216799155039191
foto_mes	0.011249732744322	0.0102258311491328	0.00655956417810884
Visa_msaldototal_rank	0.0104293765686997	0.0029249361686517	0.00422480404691756
mprestamos_personales_rank_delta1	0.00949749773529711	0.011208421567099	0.0032241925621213
mrentabilidad_annual_rank_delta1	0.00891780647973486	0.00761788639657541	0.0184557229417978
internet_lag1	0.00784553488522727	0.00168006000883147	0.000389126688531881
vm_msaldototal_rank	0.00757178843893311	0.00150875068932684	0.00222358107732503
thomebanking	0.00666186164907501	0.00450562068052999	0.0107843682250264
Master_fechaalta	0.00633467084696748	0.00687418714125425	0.0121185168714214
ctrx_quarter_normalizado_delta1	0.00554174013783571	0.00487452848970105	0.0036689087775863
cdescubierto_preacordado_delta1	0.00553152291755373	0.00749533112953143	0.00127855911946189
ctrx_quarter_delta1	0.00523128703046151	0.00469735248180914	0.00333537161598755
mactivos_margen_rank	0.00513905165558323	0.00704215149430573	0.00678192228584135
mrentabilidad_annual_rank	0.00510825828946855	0.00582140041704276	0.00828283951303575
mcuenta_corriente_rank	0.00500928187483043	0.00880931660052063	0.00739340708210573
mtarjeta_visa_consumo_rank	0.00438838302918199	0.00334833160557358	0.00244593918505754
mpayroll_sobre_edad_rank_lag1	0.00435134949984674	0.00288671880812689	0.00155650675412752
mcomisiones_mantenimiento_rank	0.00433396973794898	0.00780702449201386	0.00583690032797821
mcuentas_saldo_rank_delta1	0.00424052280602924	0.0056397212254493	0.00833842903996887
ctrx_quarter_lag1	0.00421593561728423	0.00397177660322471	0.00216799155039191
mcomisiones_otras_rank_delta1	0.00417673685831252	0.00489722836708122	0.00872755572850075
mcuenta_corriente_rank_delta1	0.00408931574620056	0.00499351598296193	0.00327978208905442
mrentabilidad_annual_rank_lag1	0.00400786022319342	0.00631480801090386	0.010172883428762
mcomisiones_rank_delta1	0.00389912778201769	0.00558772066071461	0.0104508310634277
Visa_delinquency	0.00385546469539246	0.00251145813354863	0.00166768580799377
mautoservicio_rank	0.00375163073449441	0.003188108378985	0.00222358107732503
vm_status02	0.00363616252262911	0.00292168603813897	0.00122296959252877
tcallcenter	0.00345795939510383	0.00529022888509494	0.00416921451998444
Visa_mpagominimo_rank	0.00300977267176575	0.00289745793099582	0.00478069931624882
Visa_Finiciomora	0.0028257635579782	0.0020014692943677	0.000555895269331258
mpasivos_margen_rank_delta1	0.00278477958456294	0.0060391292633178	0.0108955472788927
cpayroll_trx	0.00277511660106016	0.00210898944661465	0.000222358107732503
mprestamos_personales_rank_lag1	0.00274909380896969	0.00437189800541621	0.00205681249652565
vm_mpagominimo_rank	0.00273510688241502	0.00261945265593136	0.00311301350825504
mactivos_margen_rank_delta1	0.00272801403670009	0.00509611590188978	0.0117849797098227
Visa_mpagominimo_rank_lag1	0.00269039939819072	0.0031560526885176	0.00550336316637945
mactivos_margen_rank_lag1	0.00264897088533879	0.00490472307244589	0.00589248985491133
mcomisiones_otras_rank	0.0025424624913669	0.00367973789417983	0.00856078714770137
vm_Finiciomora_delta1	0.00253281587791611	0.00242822893153789	0.000555895269331258
tcallcenter_delta1	0.00251344285837234	0.000799504493256397	0.000722663850130635
vm_fechaalta	0.00245641614749234	0.0061736574726244	0.00767135471677136
mcomisiones_mantenimiento_rank_delta1	0.00245613122118237	0.00456207815359771	0.00283506587358942
cprestamos_personales	0.00242261030413379	0.00139529738736087	0.000333537161598755
mcomisiones_otras_rank_lag1	0.00239280254926792	0.00312578745490146	0.00700428039357385
Master_fechaalta_lag1	0.00235822112398278	0.00589884291278468	0.00900550336316638
mrentabilidad_rank_delta1	0.00234063767688667	0.00378755645590199	0.010172883428762
vm_msaldopesos_rank	0.00231831888958923	0.00199926997654433	0.00239034965812441
mcomisiones_rank	0.00227007861530797	0.00320715726309219	0.00728222802823948
mcaja_ahorro_rank_delta1	0.0022586322600968	0.00623110862829688	0.00528100505864695
cliente_vip_delta1	0.00225412489400144	0.00299703776321825	0.00205681249652565
chomebanking_transacciones_delta1	0.0022276554830985	0.00619726590878328	0.00739340708210573
thomebanking_lag1	0.00221298989851579	0.00368892345961495	0.00928345099783201
cdescubierto_preacordado_lag1	0.00216889521352579	0.00593248967610811	0.00389126688531881
ccaja_seguridad_lag1	0.00216406879207004	0.00127752981183974	0.000222358107732503
vm_status06	0.00213254173218923	0.00137225891901265	0.000833842903996887
Visa_msaldopesos_rank_delta1	0.00211269223609685	0.00164097179538379	0.00422480404691756
Visa_fechaalta	0.00211099772199278	0.004707382239461	0.00717104897437323
Master_Fvencimiento_lag1	0.00210418976709937	0.00454091202855535	0.00995052532102952
mcomisiones_rank_lag1	0.00209680362480459	0.00331760914084705	0.00756017566290511
mcuenta_debitos_automaticos_rank	0.00208099564230418	0.00500048280634493	0.00239034965812441
ctarjeta_master_delta1	0.00207859543603423	0.000187773067283811	5.55895269331258e-05
Master_mfinanciacion_limite_rank	0.00206808960933047	0.00551745008535939	0.00778253377063761
vm_Finiciomora	0.00205798603070469	0.00206120717689299	0.00066707432319751
vm_status01_delta1	0.00201667734597622	0.000986814806854972	0.000611484796264384
mcuentas_saldo_rank_lag1	0.00198497868178238	0.00401837285239014	0.00361331925065318
cliente_edad_lag1	0.0019678094054538	0.00516894723807025	0.00522541553171383
Visa_mpagospesos_rank	0.00193992336123599	0.00272902739645404	0.00750458613597198
Master_Fvencimiento	0.00193897695750125	0.00354289039387221	0.00900550336316638
ccomisiones_mantenimiento_delta1	0.00190926891415501	0.0033296483540078	0.000444716215465006
cliente_edad	0.00190657242061033	0.0060592655233685	0.00505864695091445
mrentabilidad_rank_lag1	0.00189475177605689	0.00386449544516499	0.00622602701651009
cprestamos_personales_delta1	0.0018903728574995	0.00334721985412732	0.000389126688531881
chomebanking_transacciones	0.00186788475412277	0.00646047011196396	0.00678192228584135
chomebanking_transacciones_lag1	0.00185628210563227	0.00352309748562995	0.00628161654344322
vm_Finiciomora_lag1	0.00184826646994797	0.00327831982950159	0.000945021957863139
ccaja_ahorro	0.00183523810195815	0.00449253008337904	0.000500305742398132
Visa_mpagospesos_rank_delta1	0.00181551258036394	0.00317234790254721	0.00894991383623325
Master_mfinanciacion_limite_rank_delta1	0.00178910349993226	0.00429064207652745	0.0105620101172939
mcaja_ahorro_rank_lag1	0.00177743515835216	0.00404476790364205	0.00305742398132192
vm_status04_delta1	0.00171667546624696	0.00202259371444831	0.000333537161598755
Visa_cconsumos	0.00168673760425748	0.0017037895607697	0.00428039357385069
Visa_status_delta1	0.00168653953284129	0.00195096858478729	0.000945021957863139
mtransferencias_emitidas_rank	0.00165317842675434	0.00788259293054737	0.00561454222024571
Visa_Fvencimiento_lag1	0.00164723299744973	0.00333715239061963	0.00611484796264384
mrentabilidad_rank	0.00164127167261638	0.00340835837589331	0.00628161654344322
ccaja_seguridad	0.00162403136156506	0.00476523521006182	0.000500305742398132
