Feature	Gain	Cover	Frequency
ctrx_quarter	0.119144007051602	0.00742570915198758	0.00290130000557942
vm_status06	0.107651586967014	0.00279572336257073	0.00212018077330804
mcuenta_corriente_rank	0.0805903660734949	0.0147673430755887	0.00820175193884952
mpasivos_margen_rank	0.0574971771806466	0.00825181249824048	0.00624895385817107
mpayroll_rank	0.0242209140708252	0.00774823793234045	0.00206438654243151
ctrx_quarter_normalizado	0.0232861491126326	0.00766236554143353	0.00312447692908553
cdescubierto_preacordado	0.0175870007095007	0.00785510415383467	0.00580260001115885
Visa_msaldopesos_rank	0.017190120358548	0.00242179053825357	0.00329185962171511
mpayroll_sobre_edad_rank	0.0168148156729343	0.00848108978575146	0.00200859231155499
mprestamos_personales_rank	0.0167388570947404	0.0107962824925343	0.00318027115996206
mcuentas_saldo_rank	0.0154912669594317	0.0123267407844978	0.00596998270378843
mcomisiones_mantenimiento_rank	0.0150704153822078	0.00733104082725637	0.00624895385817107
active_quarter_lag1	0.0139041034451768	0.00183082875376937	0.00290130000557942
foto_mes	0.0131594252964847	0.0117920688885556	0.00792278078446689
mpayroll_rank_lag1	0.0116765280599593	0.00352307923778475	0.00111588461753055
mcaja_ahorro_rank_lag1	0.0116330017600911	0.00702125360061095	0.00329185962171511
mcaja_ahorro_rank	0.00994354843096403	0.00610899762988209	0.00340344808346817
Visa_msaldototal_rank	0.0092126917695544	0.00295520720939539	0.00329185962171511
mprestamos_personales_rank_lag1	0.00860240489131324	0.00490730565523807	0.00167382692629582
mprestamos_personales_rank_delta1	0.00803738924880487	0.0179100059119827	0.00446353847012219
mrentabilidad_annual_rank_delta1	0.00768927992789971	0.00702740842378384	0.0154550019527981
Visa_mpagospesos_rank	0.00669689145349271	0.00327258691282012	0.00697427885956592
vm_status01	0.00650283759220622	0.00580762829872889	0.00306868269820901
mtransferencias_recibidas_rank	0.0058228386371138	0.00565790983723697	0.00513306924064052
mactivos_margen_rank	0.00578540893708248	0.00836191487303612	0.00781119232271383
Master_fechaalta_lag1	0.0057792669561293	0.00590949692606268	0.00954081347988618
Visa_mpagominimo_rank	0.0052879019980026	0.00499948205978646	0.00630474808904759
thomebanking	0.00521925301842884	0.00467453165642419	0.0106566980974167
mrentabilidad_annual_rank_lag1	0.00514731281642753	0.00675992806096733	0.00970819617251576
mrentabilidad_annual_rank	0.00509700369803804	0.00634097066117381	0.00758801539920772
tcallcenter	0.00495166436581899	0.00511728331224617	0.00418456731573955
mtarjeta_visa_consumo_rank	0.00473877626851431	0.00359432599612157	0.00306868269820901
cdescubierto_preacordado_delta1	0.0045432522789945	0.00869365754975525	0.00133906154103666
ctrx_quarter_delta1	0.00444053773036598	0.00386747769801877	0.00295709423645595
vm_fultimo_cierre_delta1	0.00439478031217929	0.000293066814717353	0.000781119232271383
internet_lag1	0.00432781245937949	0.00436508388107543	0.000781119232271383
mcuentas_saldo_rank_delta1	0.00430128677593466	0.00790381551041706	0.00853651732410869
ctrx_quarter_normalizado_delta1	0.00429160844973104	0.00426755228370182	0.0034592423143447
mpayroll_sobre_edad_rank_delta1	0.00428273272466148	0.00386779346222438	0.00167382692629582
mrentabilidad_rank_lag1	0.00414884897024359	0.0023068005996559	0.00613736539641801
Visa_mpagominimo_rank_lag1	0.00404076707212203	0.00394387372430867	0.00563521731852926
Visa_delinquency	0.00389070930696129	0.00301740779125254	0.00128326731016013
mcuenta_corriente_rank_lag1	0.00383994345878056	0.00620257233690178	0.00490989231713441
vm_fultimo_cierre_lag1	0.00382759844974987	0.00173949820760116	0.00301288846733248
mpasivos_margen_rank_delta1	0.00359994875466406	0.00451158796610769	0.00981978463426882
Visa_delinquency_lag1	0.00358834053549582	0.00232670673430445	0.00139485577191318
internet	0.00355696949873598	0.00241808026108141	0.000446353847012219
